"","Year","Country","internet_censorship","media_censorship","media_corrupt","int_cen_ord","med_cen_ord","Approval_Rate","GDP_per_capita","FDI","Resource","Internet","Mobile_phone","GDP_growth"
"1",2008,"Japan",1.54,2.275,2.52,3,4,44.080971,34798.7659,24624845330,0.02556105,75.4,85.8847,-1.09354060044625
"2",2009,"Japan",1.54,2.438,2.52,3,4,41.12434,33198.6161,12226471579,0.02130324,78,90.4634,-5.41641279666185
"3",2010,"Japan",1.551,2.456,2.506,3,4,41.58918,34986.9945,7440979284,0.02096713,78.21,95.9117,4.19173925854747
"4",2011,"Japan",1.551,2.456,2.506,3,4,39.025242,35774.6967,-850717035,0.02357679,79.0541,103.317,-0.115421339757418
"5",2012,"Japan",1.551,2.061,2.506,3,4,36.134602,37191.3859,546962692.2,0.02310187,79.4964,109.894,1.49508958593034
"6",2013,"Japan",1.459,1.361,2.488,3,3,47.65963,38974.0795,10648441636,0.02640713,88.2194,115.254,2.00026784118108
"7",2014,"Japan",1.459,1.361,2.488,3,3,51.319881,39179.1556,19752249424,0.0300661,89.1068,123.163,0.374719476350435
"8",2015,"Japan",1.417,1.207,2.374,3,3,51.864101,40396.2432,5252218412,0.03112847,91.058,125.452,1.2229210410615
"9",2016,"Japan",1.417,1.207,2.374,3,3,53.997501,39970.6798,40954181469,0.0263737,93.1827,130.595,0.521944455486121
"10",2017,"Japan",1.51,1.019,2.289,3,3,53.44294,40858.8844,18802251208,0.03044145,84.5881,135.519,2.16829073737318
"11",2018,"Japan",1.527,1.014,2.316,3,3,51.68047,41335.5232,24605910854,0.03067714,84.5881,139.201,0.323207337906922
"12",2008,"Brazil",1.731,2.291,1.49,3,4,64.421883,10710.8722205603,50716402711.4787,6.18113645175237,33.83,78.4467,5.09419544732717
"13",2009,"Brazil",1.731,2.291,1.49,3,4,69.689003,10594.9865923924,31480932200,3.26297502791112,39.22,87.3633,-0.125811999414864
"14",2010,"Brazil",1.731,2.492,1.485,3,4,76.657303,11286.2430162457,82389933624.1,4.56479675982582,40.65,100.621,7.52822583005563
"15",2011,"Brazil",1.731,2.492,1.485,3,4,60.281029,11627.8106505917,102427229784.41,5.08440230385098,45.69,118.653,3.97442540583816
"16",2012,"Brazil",1.731,2.369,1.429,3,4,64.071404,11745.7759262897,92568379494.5,4.70056310114098,48.56,124.606,1.92115031836305
"17",2013,"Brazil",1.61,3.222,1.732,3,4,51.866428,11993.4839848731,75211028087.44,4.57590486969937,51.04,134.851,3.00484630505706
"18",2014,"Brazil",1.61,2.887,1.718,3,4,42.98148,11951.2094463497,87713987796.95,4.10126900557026,54.551,138.451,0.503955740242247
"19",2015,"Brazil",1.61,2.887,1.718,3,4,20.94453,11431.1544808449,64738149686.45,3.14990421078969,58.328,126.088,-3.54576339269425
"20",2016,"Brazil",1.059,1.161,0.715,3,3,20.905399,10965.9742614391,74294617926.46,3.02088748101682,60.8725,118.386,-3.27591690782192
"21",2017,"Brazil",1.077,0.813,0.728,3,3,13.46561,11021.7182622703,68885072605.58,3.42922435181487,67.4713,105.014,1.32286905404399
"22",2018,"Brazil",1.024,0.651,0.671,3,3,9.9758558,11079.709675038,78162572752.95,4.64064756723011,67.4713,98.8435,1.31722399870793
"23",2008,"United States",0.869,2.706,2.672,3,4,31.246401,49319.4788646606,3.41092e+11,1.91237091162624,74,86.0995,-0.136579804247219
"24",2009,"United States",0.869,2.706,2.672,3,4,38.63179,47648.8132482238,1.61083e+11,0.770862911946098,71,89.545,-2.53675706962862
"25",2010,"United States",0.917,2.737,2.329,3,4,42.998421,48467.5157769259,2.64039e+11,0.917193074822363,71.69,92.2678,2.56376656343198
"26",2011,"United States",0.917,2.511,2.329,3,4,42.973572,48866.0532763761,2.63497e+11,1.22641914726983,69.7295,95.449,1.55083550424324
"27",2012,"United States",0.917,2.511,2.329,3,4,45.305038,49603.2534722502,2.50345e+11,0.826186247041589,74.7,97.0686,2.24954585097743
"28",2013,"United States",0.836,2.312,2.257,3,4,44.473419,50171.2371312632,2.88131e+11,0.78527295858782,71.4,98.1977,1.84208107011949
"29",2014,"United States",0.836,2.312,2.257,3,4,41.98671,51065.6826923239,2.51856e+11,0.664931284350569,73,111.556,2.52597345040711
"30",2015,"United States",0.836,2.312,2.257,3,4,43.294651,52168.1262363804,5.11434e+11,0.274171911816163,74.5542,119.144,2.90802186128343
"31",2016,"United States",0.836,2.607,2.262,3,4,46.783791,52643.9178421402,4.74388e+11,0.339452810203875,85.5444,122.558,1.63783845703892
"32",2017,"United States",0.722,1.644,1.952,3,3,41.017941,53552.4850143768,3.66995e+11,0.477291211023904,87.2661,123.108,2.36980078440416
"33",2018,"United States",0.722,1.624,1.475,3,3,40.201649,54832.9782332551,2.61482e+11,0.711242137136903,87.2661,123.688,2.92732573232968
"45",2008,"Argentina",1.635,0.739,0.922,3,3,42.811878,10201.4759370923,9725553129.52469,5.05455682105266,28.1126,116.039,4.05723310346406
"46",2009,"Argentina",1.635,0.691,0.928,3,3,35.922508,9502.24358504659,4017158924.88408,3.19753858756716,34,129.642,-5.91852507634947
"47",2010,"Argentina",1.635,0.6,0.918,3,3,46.444172,10385.9644319555,11332718626.4345,3.46666203913257,45,139.58,10.1253981561002
"48",2011,"Argentina",1.635,0.6,0.918,3,3,55.28196,10883.315359489,10839930944.6815,3.90286904845143,51,146.955,6.00395169280579
"49",2012,"Argentina",1.635,0.557,0.918,3,3,50.727879,10649.8372874572,15323933916.8241,3.76621595953502,55.8,154.059,-1.0264204544321
"50",2013,"Argentina",1.635,0.757,0.979,3,3,45.24918,10784.6306992057,9821661858.15874,3.37108014544302,59.9,159.639,2.40532378079436
"51",2014,"Argentina",1.635,0.823,0.989,3,3,45.34486,10398.6940069464,5065335541.96486,3.04386403943688,64.7,143.616,-2.51261532081394
"52",2015,"Argentina",1.635,0.823,0.946,3,3,48.65015,10568.1578087083,11758994011.286,1.3562564931771,68.0431,143.567,2.73115982828944
"53",2016,"Argentina",1.635,1.596,0.97,3,3,50.409409,10239.4813479933,3260164341.77393,1.14484722976945,70.969,146.454,-2.08032784377811
"54",2017,"Argentina",1.635,1.596,0.954,3,3,42.229321,10419.455405282,11516861462.2845,1.29893613269216,74.2949,140.877,2.81850297245272
"55",2018,"Argentina",1.495,1.599,1.251,3,3,35.491009,10049.5552392518,11872856662.7649,2.23589092166097,74.2949,132.093,-2.56535187644216
"56",2008,"South Korea",-0.253,1.061,1.667,2,3,29.98958,29946.0775,11187500000,0.04585253,81,92.7302,3.01298487281167
"57",2009,"South Korea",-0.253,1.061,1.667,2,3,35.078449,29644.4342,9021900000,0.03659733,81.6,97.1564,0.792698989518186
"58",2010,"South Korea",-0.253,1.111,1.667,2,3,43.333611,31740.4596,9497400000,0.03208748,83.7,102.466,6.80482491783671
"59",2011,"South Korea",-0.253,1.111,1.667,2,3,44.638229,32546.7537,9.773e+09,0.03500821,83.7591,105.465,3.68566778212526
"60",2012,"South Korea",-0.253,1.111,1.667,2,3,38.56604,33557.1287,9495900000,0.05332704,84.07,107.119,2.40253099246186
"61",2013,"South Korea",-0.253,0.685,1.425,2,3,50.49107,34244.3121,12766600000,0.03024114,84.77,108.611,3.16470863647184
"62",2014,"South Korea",-0.224,0.685,1.425,3,3,55.66766,35324.4977,9273600000,0.02654371,87.5568,113.204,3.2024537945736
"63",2015,"South Korea",-0.284,0.794,1.36,2,3,52.978489,37907.5003,4104100000,0.01982047,89.9,115.961,2.80910326824133
"64",2016,"South Korea",-0.284,0.794,1.36,2,3,47.443619,39567.0166,12104300000,0.01893836,92.843,120.226,2.94688171508626
"65",2017,"South Korea",-0.116,2.553,2.18,3,4,67.520882,41001.0669,17912900000,0.01846252,95.0694,124.585,3.15963574012777
"66",2018,"South Korea",-0.112,2.566,2.243,3,4,80.06855,42240.5718,12182600000,0.01891637,95.8983,129.673,2.90740377377135
"67",2008,"Philippines",0.377,1.472,0.125,3,3,14.58551,2105.11294451035,1340027563.20326,2.06421689136051,6.22,74.9348,4.34448730509183
"68",2009,"Philippines",0.377,1.472,0.125,3,3,15.24756,2100.65646359785,2064620677.76657,2.08039972122491,9,81.7912,1.44832306275669
"69",2010,"Philippines",0.398,1.874,0.325,3,3,46.215549,2217.47400857231,1070386939.91897,2.85042203232025,25,88.4889,7.33449996034538
"70",2011,"Philippines",0.398,2.164,0.325,3,4,60.976212,2264.39408705055,2007150725.40003,4.08814660433945,29,98.5558,3.85823282795663
"71",2012,"Philippines",0.398,2.164,0.325,3,4,62.134369,2379.66818449586,3215415155.43567,2.4801253467109,36.2351,104.902,6.89695171050985
"72",2013,"Philippines",0.559,2.175,0.283,3,4,63.407619,2497.68592516395,3737371739.84519,1.91791338184567,48.099,103.997,6.75053130142255
"73",2014,"Philippines",0.559,2.175,0.283,3,4,52.225319,2612.85688085179,5739574024.13183,2.53543236882515,49.6,110.758,6.34798748260867
"74",2015,"Philippines",0.351,1.985,0.253,3,4,46.449718,2735.18753202715,5639155961.87389,1.66274670170014,36,115.399,6.34830971672761
"75",2016,"Philippines",0.293,1.015,0.253,3,3,54.972031,2886.89748465474,8279548274.88501,1.17620002148865,55.5,115.852,7.14945675000752
"76",2017,"Philippines",0.243,1.015,0.325,3,3,68.960869,3042.68677975457,10256442398.8834,1.28720842347292,60.0548,110.128,6.9309883258402
"77",2018,"Philippines",-0.087,0.629,0.273,3,3,65.520203,3190.77834847406,9948598823.96867,1.47065753638969,60.0548,110.128,6.34148557153473
"78",2008,"Australia",1.59,3.327,2.157,3,4,64.586563,51841.2609971277,45160024270.9395,10.4851256731003,71.67,103.693,3.65795352556486
"79",2009,"Australia",1.59,3.327,2.157,3,4,66.792282,51767.4024588708,28683266147.8801,6.77593521696045,74.25,102.065,1.93699392030038
"80",2010,"Australia",1.59,3.327,2.157,3,4,53.675621,52022.1255961876,35210733743.0829,9.79183942219859,76,101.559,2.067417127684
"81",2011,"Australia",1.59,3.327,2.157,3,4,41.02388,52567.7619238659,65554890649.5348,10.7323438854237,79.4877,105.551,2.46275631162725
"82",2012,"Australia",1.59,3.327,2.157,3,4,36.046059,53682.0321439532,57550426822.6138,7.60025160126051,79,106.261,3.91816287094112
"83",2013,"Australia",1.53,2.797,2.777,3,4,39.79739,54129.9357689465,53997299139.8889,7.67728221206306,83.4535,107.246,2.58489770154893
"84",2014,"Australia",1.53,2.797,2.777,3,4,41.208302,54679.4164458288,63195482811.6136,7.32302868110188,84,106.203,2.5331146653882
"85",2015,"Australia",1.513,2.503,2.596,3,4,49.578178,55079.8923433681,46892808567.8516,5.26146080247577,84.5605,107.678,2.19264742646037
"86",2016,"Australia",1.551,2.503,2.596,3,4,43.162491,55728.6822551091,42980709071.9775,6.12082210695187,86.54,109.431,2.7706521973025
"87",2017,"Australia",1.516,2.559,2.602,3,4,37.674492,56058.4659514366,47541126471.9733,7.15950380730281,86.545,111.708,2.30061062359425
"88",2018,"Australia",1.565,1.703,2.538,3,3,41.560478,56832.0504820575,61079477672.6636,7.50227524129786,86.545,113.579,2.94928577160958
"89",2008,"France",1.641,2.496,2.711,3,4,39.513241,41456.4834200511,67997446904.973,0.0556565587845224,70.68,93.1888,0.254945960124005
"90",2009,"France",1.641,2.496,2.711,3,4,37.448399,40058.6797604341,18422928061.9127,0.051827677670642,71.58,92.6052,-2.87331382849631
"91",2010,"France",1.641,2.496,2.711,3,4,32.29253,40638.33400426,38889439213.3127,0.0565342848062096,77.28,91.898,1.94943762312663
"92",2011,"France",1.641,2.496,2.711,3,4,29.398439,41329.0353613461,44205811126.5792,0.0553988763129595,77.82,94.6123,2.19270063266654
"93",2012,"France",1.641,2.403,2.711,3,4,34.958981,41258.2747305664,32944663317.8723,0.0503028462969681,81.44,97.9482,0.313134751077172
"94",2013,"France",1.641,2.297,2.711,3,4,28.18667,41282.9908003749,31589283790.5546,0.0481248041120537,81.9198,99.1086,0.576326674771792
"95",2014,"France",1.641,2.297,2.711,3,4,19.494381,41480.7696075124,5804878132.66663,0.0489668022763726,83.75,101.918,0.956183052371557
"96",2015,"France",0.633,2.297,2.711,3,4,20.8895,41793.5447118859,42825414105.9412,0.0415563976840352,78.01,103.456,1.1129123405747
"97",2016,"France",0.633,2.297,2.711,3,4,16.16078,42140.0368796576,32803666728.5947,0.0397200568550011,79.2698,104.49,1.09546440372048
"98",2017,"France",1.523,2.355,2.636,3,4,28.46348,43015.2106423116,35868111746.0378,0.0373051528875057,80.5025,106.439,2.29141999417021
"99",2018,"France",0.707,2.265,2.636,3,4,31.134911,43720.0263429305,71599682377.0523,0.038371349969632,82.0435,108.408,1.79286392711333
"100",2008,"Bulgaria",0.366,1.518,-0.401,3,3,34.576302,6920.38895361115,10296720633.7243,2.75867844133485,39.67,138.608,6.08562760690579
"101",2009,"Bulgaria",1.584,1.515,-0.531,3,3,38.93681,6730.05814265952,3896664559.17164,1.5605529053816,45,139.892,-3.37483832880535
"102",2010,"Bulgaria",1.583,1.393,-0.601,3,3,44.363941,6812.40633845402,1842900000,2.53791151740093,46.23,137.373,0.559446489731144
"103",2011,"Bulgaria",1.579,1.39,-0.601,3,3,43.202999,7017.66364599858,2103810000,2.85899825956573,47.98,141.965,2.35455692273156
"104",2012,"Bulgaria",0.832,1.303,-0.601,3,3,42.06929,7083.59878715875,1788110000,2.3373656632976,51.9,146.997,0.356586982837044
"105",2013,"Bulgaria",0.771,0.842,-0.092,3,3,39.23991,7146.5587960175,1989040000,1.79870076128305,53.0615,143.85,0.325769436153124
"106",2014,"Bulgaria",1.541,0.949,-0.092,3,3,34.30125,7322.80862919503,1093600000,1.58481468601506,55.49,130.933,1.88546463842944
"107",2015,"Bulgaria",1.523,0.871,-0.159,3,3,35.67577,7663.72202887539,2179500000,1.5059588753666,56.6563,127.708,3.98985171362301
"108",2016,"Bulgaria",1.523,0.803,-0.159,3,3,35.911869,8012.51120825339,1476500000,0.872843589925502,59.8255,125.474,3.82043453021177
"109",2017,"Bulgaria",1.457,0.784,-0.127,3,3,35.24028,8353.9682378682,2020340000,0.997402815446067,63.4101,120.14,3.50275153013627
"110",2018,"Bulgaria",1.472,0.795,-0.043,3,3,37.90649,8674.72320233978,1222580000,0.919710991885634,64.782,118.117,3.09244765360886
"111",2008,"Hungary",1.56,2.254,1.279,3,4,28.97076,13928.800324784,75107772943.2045,0.638580464448092,61,122.341,1.0582892500439
"112",2009,"Hungary",1.56,2.254,1.279,3,4,27.428329,13015.7797876943,-2792080129.12211,0.514433035381086,62,118.405,-6.69955413727229
"113",2010,"Hungary",1.56,1.34,1.134,3,3,33.403221,13191.6212644696,-20770280260.78,0.537768253209807,65,120.997,1.12217824979848
"114",2011,"Hungary",1.56,1.087,1.134,3,3,36.7663,13485.3151480551,10740966550.9834,0.699652093821243,68.02,118.132,1.93710779352188
"115",2012,"Hungary",1.56,1.075,1.134,3,3,30.845921,13367.9931241148,10815928328.3018,0.639854831197844,70.58,117.387,-1.38062332775523
"116",2013,"Hungary",1.507,1.158,0.94,3,3,35.233849,13654.2861901501,-3586600504.51759,0.51290846202864,72.6439,117.861,1.86075162441399
"117",2014,"Hungary",1.507,1.124,0.94,3,3,36.284199,14270.1081386959,13060104658.7999,0.401013137499391,75.6532,119.597,4.22895073481537
"118",2015,"Hungary",1.507,0.511,0.906,3,3,34.715149,14850.4252030047,-5266437314.96472,0.286083758118293,72.8347,101.254,3.81942837927696
"119",2016,"Hungary",1.507,0.497,0.918,3,3,38.166569,15213.0528173847,69681210262.328,0.249862823144682,79.2594,102.041,2.13999571174807
"120",2017,"Hungary",1.528,0.392,0.498,3,2,40.444729,15912.0146344436,-12133624001.0687,0.301606907283482,76.7505,102.212,4.31678098650497
"121",2018,"Hungary",1.488,0.261,0.032,3,2,52.331871,16793.3841512184,-64832072322.6205,0.38044140948704,76.0744,103.445,5.40529410393094
